,item_1,item_2,item_3
1314,turkey,burgers,whole wheat pasta
1315,turkey,vegetables mix,gums
1316,soup,fromage blanc,eggs
1317,dessert wine,burgers,cake
1318,grated cheese,eggplant,cereals
1324,eggs,cookies,green tea
1326,grated cheese,herb & pepper,shrimp
1327,soup,chocolate,candy bars
1328,herb & pepper,shrimp,ground beef
1329,milk,chocolate,babies food
1330,chocolate,spaghetti,mineral water
1332,tomatoes,whole weat flour,green tea
1334,frozen vegetables,whole wheat pasta,milk
1336,grated cheese,pepper,spaghetti
1338,spaghetti,eggs,eggplant
1339,milk,butter,pancakes
1340,turkey,grated cheese,tomatoes
1342,burgers,honey,escalope
1344,frozen vegetables,tomatoes,french fries
1345,shrimp,spaghetti,mineral water
1354,eggs,cooking oil,low fat yogurt
1357,parmesan cheese,ground beef,spaghetti
1360,ground beef,spaghetti,mineral water
1364,frozen vegetables,spaghetti,milk
1365,turkey,shrimp,frozen vegetables
1367,turkey,tomatoes,spaghetti
1368,burgers,spaghetti,low fat yogurt
1372,fresh tuna,tomatoes,tomato sauce
1373,mineral water,milk,honey
1374,herb & pepper,shrimp,tomatoes
1375,pancakes,eggs,french fries
1377,mineral water,milk,energy bar
1378,fresh tuna,tomatoes,mineral water
1379,soup,milk,bacon
1383,grated cheese,pepper,green tea
1384,turkey,spaghetti,mineral water
1386,frozen vegetables,whole wheat pasta,ground beef
1388,shrimp,spaghetti,mineral water
1389,turkey,burgers,ground beef
1391,turkey,tomatoes,eggs
1392,burgers,shrimp,pasta
1393,burgers,eggs,french fries
1394,almonds,eggs,cooking oil
1396,frozen vegetables,whole wheat pasta,carrots
1397,tomatoes,mineral water,meatballs
1398,shrimp,frozen vegetables,parmesan cheese
1399,red wine,tomatoes,spaghetti
1400,spaghetti,mineral water,soup
1401,fresh tuna,herb & pepper,spaghetti
1403,chocolate,escalope,pasta
1405,herb & pepper,ground beef,cooking oil
1407,ham,shrimp,spaghetti
1408,mineral water,soup,bacon
1409,burgers,spaghetti,eggs
1412,ground beef,honey,chicken
1413,burgers,ground beef,mineral water
1414,burgers,ground beef,spaghetti
1415,ham,grated cheese,pepper
1416,burgers,mineral water,milk
1420,burgers,frozen vegetables,tomatoes
1421,herb & pepper,shrimp,frozen vegetables
1422,whole wheat pasta,spaghetti,meatballs
1423,vegetables mix,oil,chocolate
1424,herb & pepper,tomato sauce,mineral water
1425,burgers,ham,ground beef
1427,turkey,eggs,frozen smoothie
1428,burgers,grated cheese,mineral water
1429,tomatoes,mineral water,olive oil
1430,parmesan cheese,mineral water,extra dark chocolate
1434,escalope,pasta,mushroom cream sauce
1438,tomatoes,chocolate,soup
1440,turkey,honey,cake
1442,frozen vegetables,mineral water,almonds
1443,mineral water,honey,hot dogs
1446,spaghetti,olive oil,cake
1448,eggs,french fries,energy drink
1452,chocolate,pancakes,rice
1453,mineral water,chocolate,milk
1457,herb & pepper,spaghetti,pancakes
1459,shrimp,frozen vegetables,spaghetti
1462,tomatoes,blueberries,mint
1465,burgers,mineral water,eggs
1468,avocado,almonds,french wine
1470,shrimp,spaghetti,chocolate
1471,shrimp,butter,fresh bread
1472,tomatoes,soup,french fries
1473,frozen vegetables,ground beef,mineral water
1474,turkey,spaghetti,mineral water
1476,grated cheese,shrimp,french fries
1479,shrimp,frozen vegetables,tomatoes
1480,parmesan cheese,mineral water,champagne
1482,nonfat milk,tomato juice,green tea
1483,frozen vegetables,cake,french fries
1485,burgers,tomatoes,mineral water
1487,burgers,strong cheese,champagne
1488,grated cheese,honey,cake
1489,mineral water,eggs,low fat yogurt
1490,burgers,mineral water,avocado
1493,frozen vegetables,parmesan cheese,mineral water
1494,mineral water,chocolate,fresh bread
1497,milk,yogurt cake,melons
1499,pickles,frozen vegetables,chocolate
1500,burgers,bacon,champagne
1501,spaghetti,chicken,eggs
1504,burgers,ham,tomatoes
1506,milk,butter,french fries
1507,herb & pepper,nonfat milk,eggs
1511,burgers,ham,frozen vegetables
1512,turkey,shrimp,eggs
1513,frozen vegetables,tomatoes,ground beef
1514,shrimp,butter,soda
1515,grated cheese,chocolate,escalope
1518,chocolate,eggs,low fat yogurt
1519,salmon,chicken,green tea
1520,frozen vegetables,milk,fromage blanc
1521,ground beef,mineral water,pancakes
1525,mineral water,avocado,eggs
1526,red wine,shrimp,chocolate
1527,turkey,burgers,soup
1529,olive oil,rice,sparkling water
1530,shrimp,ground beef,spaghetti
1532,ground beef,meatballs,salmon
1533,tomatoes,ground beef,soda
1534,pepper,spaghetti,mineral water
1535,frozen vegetables,parmesan cheese,oil
1536,spaghetti,whole wheat rice,french fries
1537,shrimp,eggs,chocolate
1539,ground beef,spaghetti,mineral water
1540,frozen vegetables,tomatoes,mineral water
1543,grated cheese,mineral water,cooking oil
1544,tomatoes,milk,muffins
1546,frozen vegetables,mineral water,chocolate
1547,grated cheese,tomatoes,spaghetti
1550,ham,burgers,mineral water
1554,burgers,chocolate,cake
1556,chocolate bread,mushroom cream sauce,salt
1557,herb & pepper,shrimp,tomatoes
1558,fresh tuna,grated cheese,meatballs
1561,burgers,frozen vegetables,mineral water
1562,frozen vegetables,mineral water,chicken
1564,mineral water,cake,honey
1567,ground beef,spaghetti,olive oil
1569,chocolate,olive oil,pancakes
1570,frozen vegetables,almonds,eggs
1571,burgers,chocolate,herb & pepper
1573,eggs,chocolate,french fries
1574,frozen vegetables,tomatoes,ground beef
1575,frozen vegetables,ground beef,spaghetti
1576,butter,cake,green tea
1577,ground beef,spaghetti,pancakes
1578,tomatoes,avocado,eggs
1579,mineral water,whole wheat rice,low fat yogurt
1581,spaghetti,vegetables mix,rice
1582,grated cheese,red wine,milk
1584,mineral water,milk,almonds
1585,turkey,grated cheese,shrimp
1588,spaghetti,mineral water,spinach
1589,fresh tuna,chocolate,french fries
1590,mineral water,soup,eggs
1591,mineral water,chocolate,olive oil
1595,spaghetti,yams,green grapes
1596,mineral water,cooking oil,mint
1597,grated cheese,frozen vegetables,mineral water
1598,soup,milk,salmon
1604,dessert wine,grated cheese,shrimp
1605,shrimp,frozen vegetables,ground beef
1606,chocolate,shrimp,milk
1607,shrimp,mineral water,almonds
1608,chocolate,shallot,energy drink
1609,tomatoes,whole wheat pasta,ground beef
1610,mineral water,soup,milk
1611,red wine,mineral water,soup
1612,turkey,red wine,ground beef
1613,fresh tuna,herb & pepper,frozen vegetables
1614,shrimp,tomatoes,spaghetti
1615,burgers,spaghetti,avocado
1618,energy bar,eggs,cottage cheese
1619,pepper,chocolate,french fries
1621,chocolate,cake,gums
1622,ground beef,chocolate,mint
1623,burgers,fresh tuna,ham
1624,fresh tuna,mineral water,cider
1626,chocolate,frozen vegetables,mineral water
1627,burgers,tomatoes,mineral water
1631,chocolate,spaghetti,mineral water
1632,frozen vegetables,tomatoes,mineral water
1633,grated cheese,ground beef,whole wheat rice
1634,frozen vegetables,tomatoes,ground beef
1636,spaghetti,soup,cake
1639,ground beef,spaghetti,mineral water
1640,burgers,whole wheat pasta,mineral water
1642,herb & pepper,mineral water,chocolate
1643,ground beef,mineral water,milk
1644,eggs,whole wheat rice,chocolate
1646,whole weat flour,green tea,pancakes
1651,muffins,chicken,fresh bread
1652,muffins,blueberries,pet food
1653,chocolate,olive oil,whole wheat rice
1655,fresh tuna,frozen vegetables,strong cheese
1656,shrimp,tomatoes,spaghetti
1659,mineral water,chocolate,frozen smoothie
1662,chili,french fries,green tea
1665,muffins,french fries,frozen smoothie
1667,shrimp,tomatoes,soup
1668,honey,french fries,escalope
1669,tomatoes,ground beef,chicken
1671,muffins,french fries,escalope
1673,herb & pepper,frozen vegetables,salmon
1675,cereals,pancakes,yogurt cake
1678,whole wheat pasta,spaghetti,milk
1681,grated cheese,tomatoes,spaghetti
1682,burgers,grated cheese,shrimp
1685,whole wheat pasta,ground beef,mineral water
1687,grated cheese,whole wheat pasta,mineral water
1688,muffins,french fries,yogurt cake
1689,soup,milk,brownies
1690,burgers,avocado,french fries
1691,eggs,burger sauce,escalope
1692,spaghetti,pancakes,french fries
1694,ground beef,green beans,french fries
1695,spaghetti,mineral water,chocolate
1697,spaghetti,whole wheat rice,french fries
1698,spaghetti,salmon,cake
1699,shrimp,frozen vegetables,mineral water
1701,shrimp,whole wheat pasta,pepper
1704,shrimp,spaghetti,vegetables mix
1705,spaghetti,milk,frozen smoothie
1706,ground beef,vegetables mix,honey
1707,burgers,chocolate,tomatoes
1708,tomatoes,burger sauce,chocolate
1709,frozen vegetables,whole wheat pasta,milk
1710,grated cheese,spaghetti,olive oil
1711,mineral water,milk,chicken
1712,barbecue sauce,french fries,frozen smoothie
1713,shrimp,honey,ketchup
1714,mineral water,cooking oil,chocolate
1715,ground beef,soup,avocado
1716,shrimp,frozen vegetables,spaghetti
1722,herb & pepper,parmesan cheese,frozen smoothie
1724,ground beef,pepper,spaghetti
1725,chocolate,herb & pepper,shrimp
1729,mineral water,cake,frozen smoothie
1730,turkey,mineral water,chocolate
1732,mineral water,chicken,oil
1739,ground beef,pepper,olive oil
1740,burgers,shrimp,spaghetti
1742,spaghetti,avocado,brownies
1743,fresh tuna,spaghetti,mineral water
1744,pancakes,cereals,chocolate
1745,burgers,tomatoes,pepper
1746,ground beef,milk,frozen smoothie
1748,shrimp,mineral water,energy drink
1749,grated cheese,spinach,french fries
1750,spaghetti,mineral water,milk
1751,chocolate,grated cheese,herb & pepper
1753,whole wheat pasta,strawberries,melons
1755,chocolate,cookies,green tea
1756,grated cheese,pepper,cake
1758,grated cheese,frozen vegetables,whole wheat pasta
1760,pickles,shrimp,milk
1761,whole wheat rice,cooking oil,cottage cheese
1762,whole wheat pasta,avocado,olive oil
1763,fresh tuna,mineral water,pancakes
1764,cake,cookies,green tea
1766,mineral water,milk,cider
1769,burgers,ground beef,honey
1770,french fries,pancakes,gluten free bar
1771,fresh tuna,mineral water,avocado
1773,burgers,chocolate,spaghetti
1774,burgers,ground beef,spaghetti
1775,burgers,eggs,champagne
1777,ground beef,milk,energy bar
1778,shrimp,mineral water,extra dark chocolate
1781,milk,muffins,honey
1782,butter,bacon,eggs
1783,shrimp,frozen vegetables,tomatoes
1784,shrimp,tomatoes,mineral water
1785,mineral water,meatballs,olive oil
1787,eggs,chicken,whole weat flour
1788,burgers,eggs,french fries
1790,spaghetti,mineral water,extra dark chocolate
1792,frozen vegetables,spaghetti,mineral water
1796,eggs,whole weat flour,eggplant
1797,turkey,pepper,light mayo
1798,turkey,tomatoes,low fat yogurt
1799,flax seed,cake,green tea
1801,turkey,mineral water,whole wheat rice
1803,eggs,honey,salt
1804,spaghetti,mineral water,french fries
1806,tomatoes,spaghetti,mineral water
1808,light cream,chocolate,pancakes
1813,grated cheese,mineral water,eggs
1814,salmon,eggs,cake
1815,frozen vegetables,spaghetti,mineral water
1816,shrimp,mineral water,olive oil
1817,turkey,herb & pepper,spaghetti
1818,spaghetti,mineral water,eggs
1819,whole weat flour,cereals,honey
1820,turkey,burgers,spaghetti
1821,grated cheese,herb & pepper,spaghetti
1822,burgers,fresh tuna,pickles
1826,dessert wine,mineral water,milk
1827,turkey,pepper,black tea
1828,whole wheat pasta,pepper,olive oil
1830,burgers,mineral water,escalope
1831,pepper,mineral water,soup
1834,chocolate,shrimp,milk
1838,chicken,honey,whole weat flour
1839,mineral water,french fries,cookies
1840,mineral water,pancakes,eggs
1843,frozen vegetables,spaghetti,milk
1844,frozen vegetables,parmesan cheese,spaghetti
1846,red wine,gums,pet food
1848,frozen vegetables,spaghetti,mineral water
1852,grated cheese,herb & pepper,ground beef
1856,burgers,herb & pepper,shrimp
1858,fresh tuna,pepper,spaghetti
1860,tomatoes,french fries,body spray
1861,rice,burger sauce,french fries
1862,tomatoes,soup,green grapes
1863,grated cheese,avocado,french fries
1864,turkey,burgers,spaghetti
1866,burgers,ham,spaghetti
1867,frozen vegetables,chicken,pancakes
1868,chocolate,red wine,spaghetti
1872,chocolate,red wine,spaghetti
1875,frozen vegetables,tomatoes,mineral water
1877,ham,grated cheese,frozen vegetables
1879,burgers,shrimp,tomatoes
1882,ham,frozen vegetables,energy bar
1883,ground beef,tomato sauce,salmon
1884,frozen vegetables,soda,chocolate
1885,shrimp,frozen vegetables,tomatoes
1886,mineral water,energy bar,vegetables mix
1888,red wine,mineral water,muffins
1889,avocado,eggs,chocolate
1890,herb & pepper,olive oil,fresh bread
1891,spaghetti,energy bar,pancakes
1892,frozen vegetables,spaghetti,mineral water
1893,chocolate,herb & pepper,shrimp
1894,whole wheat rice,frozen smoothie,low fat yogurt
1895,burgers,red wine,mineral water
1896,red wine,mineral water,soup
1897,grated cheese,ground beef,pepper
1898,burgers,shrimp,frozen vegetables
1900,whole weat flour,french fries,brownies
1902,spaghetti,mineral water,cake
1903,ground beef,mineral water,milk
1904,olive oil,cake,eggplant
1905,mineral water,french wine,green tea
1906,mineral water,olive oil,strong cheese
1908,grated cheese,ground beef,almonds
1909,tomatoes,pepper,mineral water
1912,mineral water,soup,milk
1914,burgers,whole wheat rice,ham
1915,burgers,dessert wine,strong cheese
1918,grated cheese,red wine,tomato sauce
1919,turkey,burgers,frozen vegetables
1921,spaghetti,honey,cooking oil
1922,dessert wine,eggs,french fries
1923,turkey,burgers,french wine
1924,mineral water,soup,meatballs
1925,turkey,chocolate,whole wheat rice
1926,ground beef,chocolate,escalope
1928,chocolate,milk,olive oil
1929,cereals,chocolate,champagne
1931,whole wheat pasta,ground beef,mineral water
1934,frozen vegetables,spaghetti,mineral water
1936,soup,cookies,brownies
1937,mineral water,chocolate,french wine
1939,french fries,pancakes,yogurt cake
1940,burgers,fresh tuna,shrimp
1942,red wine,mineral water,olive oil
1943,pepper,milk,salmon
1945,tomatoes,milk,almonds
1946,grated cheese,herb & pepper,ground beef
1949,turkey,spaghetti,milk
1950,turkey,fresh tuna,tomatoes
1952,ground beef,tomato sauce,spaghetti
1955,burgers,tomatoes,spaghetti
1957,whole wheat rice,cake,rice
1958,shrimp,frozen vegetables,mineral water
1959,chicken,muffins,honey
1960,energy bar,black tea,eggs
1961,soup,olive oil,light mayo
1965,chocolate,french fries,escalope
1967,tomatoes,spaghetti,olive oil
1968,mineral water,meatballs,milk
1970,burgers,spaghetti,avocado
1972,muffins,green grapes,hot dogs
1973,chocolate,almonds,champagne
1975,turkey,frozen vegetables,avocado
1977,burgers,shrimp,tomatoes
1978,chocolate,spaghetti,mineral water
1979,milk,escalope,shallot
1980,mineral water,milk,oil
1983,mineral water,milk,french wine
1985,shrimp,light cream,rice
1986,grated cheese,spaghetti,mineral water
1988,butter,tomato juice,magazines
1989,herb & pepper,mineral water,salmon
1991,mineral water,milk,eggs
1992,turkey,shrimp,frozen vegetables
1993,milk,eggs,cake
1996,spaghetti,milk,olive oil
1997,turkey,burgers,spaghetti
1999,grated cheese,tomato sauce,spaghetti
2001,shrimp,frozen vegetables,frozen smoothie
2002,cider,eggs,whole wheat rice
2003,mineral water,energy bar,chocolate
2007,herb & pepper,shrimp,ground beef
2008,ham,herb & pepper,ground beef
2009,herb & pepper,spaghetti,mineral water
2010,tomatoes,mineral water,milk
2012,red wine,milk,eggs
2016,grated cheese,eggs,french fries
2017,grated cheese,energy bar,light cream
2018,frozen vegetables,whole wheat pasta,ground beef
2019,mineral water,cereals,chocolate
2021,tomatoes,eggs,chicken
2022,tomatoes,ground beef,spaghetti
2023,turkey,burgers,ham
2024,burgers,tomatoes,chocolate
2027,herb & pepper,ground beef,spaghetti
2028,pancakes,salt,tomato juice
2029,oil,cooking oil,chocolate
2030,ham,frozen vegetables,tomatoes
2031,fromage blanc,eggs,french fries
2032,burgers,grated cheese,cider
2035,burgers,eggs,green tea
2038,whole wheat pasta,spaghetti,mineral water
2039,mineral water,milk,olive oil
2041,yams,fromage blanc,salmon
2044,mineral water,meatballs,pancakes
2046,burgers,grated cheese,whole wheat pasta
2047,honey,light cream,oil
2050,spaghetti,french fries,escalope
2051,turkey,eggs,fresh bread
2052,turkey,eggs,bug spray
2053,turkey,chocolate,eggs
2054,eggs,cake,french fries
2055,burgers,green tea,chocolate
2056,whole wheat rice,chocolate,escalope
2057,butter,cooking oil,chocolate
2061,red wine,ground beef,spaghetti
2062,herb & pepper,ground beef,tomato sauce
2063,mineral water,whole wheat rice,escalope
2064,red wine,shrimp,spaghetti
2066,frozen vegetables,chocolate,whole wheat rice
2069,eggs,french fries,energy drink
2070,almonds,eggs,cookies
2071,eggs,frozen smoothie,cottage cheese
2075,grated cheese,herb & pepper,mineral water
2076,spaghetti,butter,eggs
2078,fresh tuna,herb & pepper,shrimp
2083,pepper,mineral water,chocolate
2084,frozen vegetables,eggs,chocolate
2085,tomatoes,mineral water,soup
2086,burgers,red wine,frozen vegetables
2088,red wine,ground beef,spaghetti
2089,shrimp,frozen vegetables,tomatoes
2090,mineral water,milk,spinach
2094,burgers,grated cheese,french fries
2095,vegetables mix,nonfat milk,pancakes
2096,burgers,shrimp,spaghetti
2098,burgers,eggs,french fries
2101,turkey,ham,red wine
2102,pancakes,cooking oil,chocolate
2104,shrimp,frozen vegetables,spaghetti
2105,tomatoes,ground beef,meatballs
2106,pepper,milk,light cream
2107,turkey,pancakes,eggs
2110,turkey,ground beef,pepper
2112,french fries,tomato juice,fresh bread
2113,herb & pepper,tomato sauce,spaghetti
2117,frozen vegetables,cereals,chocolate
2119,milk,cake,cookies
2120,tomato sauce,champagne,green tea
2121,mineral water,tea,escalope
2122,ham,soup,honey
2123,turkey,tomatoes,spaghetti
2124,shrimp,mineral water,milk
2126,chocolate,french fries,cookies
2128,herb & pepper,milk,cider
2130,tomatoes,ground beef,mineral water
2131,turkey,mineral water,eggs
2133,tomatoes,milk,chocolate
2134,shrimp,frozen vegetables,olive oil
2136,burgers,olive oil,honey
2138,ground beef,pasta,green tea
2139,spaghetti,chicken,honey
2140,chocolate,oil,magazines
2141,burgers,tomatoes,french wine
2143,mineral water,whole wheat rice,pancakes
2144,spaghetti,mineral water,olive oil
2145,mineral water,milk,cake
2148,olive oil,almonds,green grapes
2149,milk,nonfat milk,muffins
2150,meatballs,tea,frozen smoothie
2151,milk,olive oil,french wine
2152,spaghetti,mineral water,green tea
2154,milk,eggs,champagne
2155,shrimp,mineral water,chocolate
2164,fresh tuna,tomatoes,spaghetti
2165,ground beef,milk,energy bar
2167,burgers,herb & pepper,red wine
2168,turkey,tomatoes,salmon
2170,ham,shrimp,mineral water
2172,chocolate,shrimp,frozen vegetables
2173,butter,pancakes,chicken
2174,herb & pepper,milk,eggs
2175,fresh tuna,pancakes,whole wheat rice
2176,eggs,soda,gluten free bar
2177,shrimp,milk,cake
2178,shrimp,frozen vegetables,mineral water
2180,french wine,honey,light mayo
2181,turkey,spaghetti,mineral water
2183,milk,cider,eggs
2184,turkey,burgers,chocolate
2185,eggs,french fries,low fat yogurt
2186,mineral water,energy bar,chocolate
2187,ham,herb & pepper,pepper
2189,energy bar,honey,cake
2190,turkey,mineral water,butter
2191,burgers,grated cheese,herb & pepper
2192,burgers,tomatoes,mineral water
2194,burgers,frozen vegetables,tomatoes
2195,mineral water,eggs,cake
2197,turkey,shrimp,frozen vegetables
2199,grated cheese,chocolate,french wine
2201,grated cheese,frozen vegetables,ground beef
2202,chocolate,champagne,low fat yogurt
2203,mineral water,pancakes,whole wheat rice
2204,soup,avocado,french fries
2205,frozen vegetables,tomatoes,butter
2206,tomatoes,spaghetti,mineral water
2208,shrimp,spaghetti,milk
2210,tomatoes,ground beef,flax seed
2212,ground beef,spaghetti,salmon
2213,turkey,frozen vegetables,ground beef
2214,milk,champagne,mushroom cream sauce
2215,butter,muffins,pancakes
2217,ham,ground beef,mineral water
2220,black tea,french wine,chocolate
2221,burgers,spaghetti,milk
2223,mineral water,vegetables mix,eggs
2226,frozen vegetables,tomato sauce,mineral water
2228,mineral water,soup,whole wheat rice
2232,milk,eggs,ham
2234,burgers,french fries,shallot
2236,herb & pepper,shrimp,mineral water
2237,milk,butter,eggs
2239,spaghetti,chocolate,milk
2241,burgers,shrimp,mineral water
2243,burgers,shrimp,spaghetti
2245,pickles,french fries,yogurt cake
2246,spaghetti,mineral water,milk
2247,grated cheese,spaghetti,eggs
2248,herb & pepper,ground beef,spaghetti
2252,fresh tuna,shrimp,ground beef
2254,chocolate,chicken,candy bars
2255,grated cheese,red wine,tomatoes
2257,burgers,fresh tuna,tomatoes
2258,french wine,honey,whole wheat rice
2261,turkey,herb & pepper,shrimp
2262,cake,barbecue sauce,escalope
2264,frozen vegetables,eggs,cake
2265,vegetables mix,eggs,escalope
2267,grated cheese,chicken,low fat yogurt
2268,red wine,tomatoes,mineral water
2269,spaghetti,cake,light mayo
2271,red wine,french wine,salmon
2272,whole wheat pasta,ground beef,mineral water
2274,burgers,milk,eggs
2276,avocado,eggs,chicken
2277,tomatoes,mineral water,pancakes
2278,dessert wine,herb & pepper,pepper
2279,ground beef,mineral water,eggs
2280,ground beef,milk,cake
2281,spaghetti,eggs,french fries
2282,chocolate,tomatoes,mineral water
2285,meatballs,black tea,eggs
2286,pepper,spaghetti,strong cheese
2287,fresh tuna,red wine,spaghetti
2289,chocolate,spaghetti,mineral water
2290,mineral water,soup,avocado
2291,turkey,red wine,frozen vegetables
2292,shrimp,tomatoes,mineral water
2293,frozen vegetables,mineral water,cereals
2297,shrimp,eggs,cake
2298,chocolate,pepper,spaghetti
2300,chicken,chocolate,champagne
2301,grated cheese,frozen vegetables,mineral water
2302,eggs,french fries,brownies
2303,mineral water,salmon,eggs
2304,eggs,whole wheat rice,frozen smoothie
2307,grated cheese,salmon,cake
2308,shrimp,spaghetti,mineral water
2312,french fries,strawberries,low fat yogurt
2313,escalope,shallot,white wine
2314,burgers,grated cheese,herb & pepper
2315,burgers,escalope,salt
2317,frozen vegetables,parmesan cheese,butter
2318,turkey,grated cheese,ground beef
2319,burgers,shrimp,whole wheat pasta
2321,ground beef,tomato sauce,mineral water
2324,red wine,frozen smoothie,cookies
2325,ham,mineral water,milk
2327,turkey,honey,cooking oil
2333,flax seed,green tea,honey
2334,fresh tuna,shrimp,frozen vegetables
2336,grated cheese,ground beef,pepper
2338,ham,pickles,honey
2339,french fries,frozen smoothie,energy drink
2340,milk,chicken,eggs
2341,olive oil,pancakes,cooking oil
2342,burgers,spaghetti,milk
2344,ground beef,spaghetti,candy bars
2346,eggs,green tea,mushroom cream sauce
2348,turkey,burgers,tomatoes
2349,burgers,milk,eggs
2352,turkey,eggs,whole wheat rice
2353,fresh tuna,grated cheese,spaghetti
2356,chocolate,shrimp,frozen vegetables
2357,strong cheese,tomato juice,low fat yogurt
2358,turkey,burgers,shrimp
2361,grated cheese,spaghetti,french fries
2365,burgers,turkey,herb & pepper
2367,mineral water,cake,french fries
2368,herb & pepper,frozen vegetables,ground beef
2369,fresh tuna,mineral water,pancakes
2370,avocado,energy bar,muffins
2371,eggs,chocolate,escalope
2372,burgers,dessert wine,champagne
2373,shrimp,french fries,champagne
2375,mineral water,soup,cooking oil
2376,burgers,milk,cream
2377,ground beef,mineral water,oil
2379,avocado,milk,eggs
2381,shrimp,ground beef,spaghetti
2382,red wine,ground beef,salmon
2383,shrimp,frozen vegetables,tomatoes
2387,fresh tuna,spaghetti,flax seed
2389,mineral water,whole wheat rice,cake
2391,turkey,burgers,mineral water
2392,mineral water,green grapes,cooking oil
2394,turkey,grated cheese,tomato sauce
2395,turkey,burgers,spaghetti
2396,milk,energy bar,escalope
2397,olive oil,flax seed,pancakes
2400,chocolate,herb & pepper,tomatoes
2403,tomatoes,spaghetti,mineral water
2405,chocolate,butter,salmon
2406,burgers,frozen vegetables,spaghetti
2407,grated cheese,milk,energy bar
2408,fresh tuna,eggs,french fries
2409,shrimp,ground beef,pancakes
2410,eggs,cake,rice
2411,frozen vegetables,mineral water,olive oil
2412,spaghetti,mineral water,olive oil
2413,spaghetti,honey,low fat yogurt
2415,grated cheese,frozen vegetables,ground beef
2416,cake,chicken,barbecue sauce
2423,burgers,almonds,chicken
2424,red wine,spaghetti,cooking oil
2427,chocolate,mineral water,salmon
2428,muffins,strawberries,honey
2429,shrimp,tomatoes,spaghetti
2430,vegetables mix,cake,rice
2431,fresh tuna,ham,chocolate
2432,red wine,french wine,rice
2433,french fries,champagne,sandwich
2436,vegetables mix,french fries,green tea
2443,frozen vegetables,pepper,cider
2445,burgers,fresh tuna,avocado
2450,burgers,ham,grated cheese
2462,tomatoes,mineral water,eggs
2463,red wine,spaghetti,salmon
2465,fresh tuna,olive oil,energy bar
2466,chocolate,fresh bread,honey
2467,mineral water,melons,green tea
2471,whole wheat rice,chocolate,french fries
2472,herb & pepper,ground beef,spaghetti
2473,avocado,black tea,eggs
2476,burgers,eggs,french fries
2477,mineral water,eggplant,low fat yogurt
2478,burgers,pickles,energy bar
2480,shrimp,frozen vegetables,vegetables mix
2481,burgers,escalope,pasta
2483,tomatoes,mineral water,cake
2487,turkey,herb & pepper,whole wheat rice
2489,fresh tuna,frozen vegetables,tomatoes
2490,turkey,whole wheat rice,escalope
2492,eggs,honey,brownies
2493,tomatoes,soda,hot dogs
2494,burgers,ground beef,mineral water
2495,ground beef,mineral water,eggs
2496,grated cheese,whole wheat rice,bug spray
2497,mineral water,milk,eggs
2499,frozen vegetables,pancakes,low fat yogurt
2503,escalope,pasta,mushroom cream sauce
2506,herb & pepper,ground beef,champagne
2508,spaghetti,french fries,energy drink
2509,ham,shrimp,ground beef
2510,mineral water,almonds,cottage cheese
2513,mineral water,avocado,milk
2519,mineral water,vegetables mix,rice
2521,muffins,cookies,green tea
2522,grated cheese,spinach,eggs
2524,mineral water,cake,chicken
2527,burgers,mineral water,eggs
2531,grated cheese,frozen vegetables,honey
2533,avocado,spinach,yogurt cake
2535,pepper,spaghetti,cider
2539,turkey,soup,gums
2541,grated cheese,herb & pepper,spaghetti
2544,whole wheat pasta,bug spray,cereals
2545,turkey,ground beef,escalope
2546,ground beef,mineral water,french wine
2547,pickles,tomatoes,spinach
2548,chocolate,champagne,escalope
2550,red wine,mineral water,green beans
2551,ground beef,pepper,spaghetti
2552,ground beef,pepper,spaghetti
2567,chicken,eggs,light mayo
2569,french fries,escalope,pasta
2573,milk,french wine,chicken
2578,turkey,grated cheese,frozen vegetables
2581,spinach,eggs,oil
2582,spaghetti,cooking oil,green tea
2583,turkey,grated cheese,mineral water
2586,chocolate,milk,eggs
2589,spaghetti,mineral water,chocolate
2590,chocolate,muffins,cooking oil
2591,burgers,mineral water,pancakes
2592,turkey,grated cheese,tomatoes
2593,dessert wine,ground beef,spaghetti
2595,turkey,frozen vegetables,ground beef
2598,chocolate,french fries,pasta
2599,spaghetti,french wine,fromage blanc
2600,tomatoes,mineral water,avocado
2601,spaghetti,mineral water,fromage blanc
2603,ground beef,mineral water,eggs
2605,butter,chocolate,french fries
2606,mineral water,avocado,meatballs
2612,turkey,spaghetti,barbecue sauce
2613,frozen vegetables,spaghetti,mineral water
2615,shrimp,frozen vegetables,muffins
2617,shrimp,frozen vegetables,spaghetti
2618,shrimp,frozen vegetables,whole wheat rice
2619,spaghetti,french fries,escalope
2620,chocolate,french fries,brownies
2621,chocolate,ground beef,pepper
2625,whole wheat pasta,ground beef,tomato sauce
2626,turkey,red wine,mineral water
2627,grated cheese,herb & pepper,salmon
2628,frozen vegetables,ground beef,mineral water
2629,turkey,ham,mineral water
2630,strong cheese,strawberries,honey
2631,grated cheese,ground beef,pepper
2632,shrimp,frozen vegetables,ground beef
2635,shrimp,frozen vegetables,avocado
2637,shrimp,ground beef,spaghetti
2638,mineral water,chicken,hot dogs
2639,french fries,frozen smoothie,body spray
2643,frozen vegetables,spaghetti,mineral water
2644,ground beef,pepper,spaghetti
2645,spaghetti,mineral water,milk
2646,ground beef,spaghetti,milk
2649,ground beef,mineral water,blueberries
2650,frozen vegetables,tomatoes,spaghetti
2651,chocolate,soup,avocado
