,product1,product2,product3,product4,product5,product6,product7,product8,product9,product10,product11,product12,product13,product14,product15,product16,product17,product18,product19
271, hand soap, ketchup, fruits, all- purpose, fruits, sugar, vegetables, vegetables, soda, cereals, soda, sugar, cheeses, individual meals, juice, waffles, sandwich loaves, paper towels, ice cream
272, paper towels, juice, tortillas, yogurt, soda, vegetables, yogurt, sandwich bags, vegetables, all- purpose, laundry detergent, hand soap, sandwich loaves, butter, sandwich loaves, waffles, vegetables, yogurt, pork
273, toilet paper, ketchup, pasta, pasta, beef, dishwashing liquid/detergent, shampoo, vegetables, eggs, coffee/tea, flour, ketchup, vegetables, sandwich loaves, shampoo, soap, cereals, sandwich loaves, yogurt
275, dishwashing liquid/detergent, dishwashing liquid/detergent, yogurt, individual meals, paper towels, poultry, pork, sandwich bags, laundry detergent, cereals, milk, bagels, poultry, butter, paper towels, bagels, paper towels, bagels, all- purpose
277, ketchup, beef, sugar, yogurt, dishwashing liquid/detergent, poultry, lunch meat, poultry, bagels, toilet paper, eggs, laundry detergent, dinner rolls, dinner rolls, cereals, eggs, ice cream, lunch meat, butter
278, pasta, shampoo, sugar, eggs, spaghetti sauce, vegetables, soap, coffee/tea, all- purpose, laundry detergent, all- purpose, cheeses, pasta, sandwich bags, paper towels, butter, soap, vegetables, individual meals
280, shampoo, individual meals, bagels, dinner rolls, vegetables, juice, dishwashing liquid/detergent, tortillas, poultry, fruits, pasta, poultry, toilet paper, waffles, eggs, dishwashing liquid/detergent, sugar, soap, ice cream
283, flour, toilet paper, vegetables, cereals, mixes, milk, vegetables, aluminum foil, spaghetti sauce, vegetables, laundry detergent, mixes, sandwich bags, cheeses, mixes, butter, spaghetti sauce, soap, tortillas
284, vegetables, waffles, soap, ketchup, flour, vegetables, yogurt, pasta, coffee/tea, flour, toilet paper, cereals, bagels, flour, aluminum foil, coffee/tea, cheeses, pork, spaghetti sauce
285, waffles, ketchup, yogurt, sandwich bags, soda, lunch meat, beef, shampoo, pork, dinner rolls, sandwich bags, pasta, hand soap, vegetables, vegetables, milk, toilet paper, paper towels, paper towels
291, vegetables, eggs, all- purpose, vegetables, sandwich bags, paper towels, cereals, paper towels, ketchup, yogurt, cereals, eggs, toilet paper, hand soap, sandwich loaves, poultry, beef, fruits, milk
303, poultry, coffee/tea, vegetables, tortillas, hand soap, all- purpose, sugar, paper towels, coffee/tea, pasta, vegetables, all- purpose, ketchup, toilet paper, juice, sandwich bags, eggs, dinner rolls, bagels
304, butter, vegetables, soda, hand soap, hand soap, laundry detergent, sugar, butter, aluminum foil, soda, soap, soap, coffee/tea, sandwich loaves, soda, individual meals, sugar, aluminum foil, tortillas
306, sandwich bags, flour, sugar, beef, individual meals, cheeses, pasta, vegetables, fruits, dishwashing liquid/detergent, yogurt, spaghetti sauce, paper towels, spaghetti sauce, butter, mixes, sandwich loaves, hand soap, cheeses
308, juice, pasta, fruits, lunch meat, spaghetti sauce, eggs, laundry detergent, poultry, vegetables, pasta, bagels, vegetables, pasta, cereals, pork, pork, sugar, sandwich bags, all- purpose
309, sandwich loaves, spaghetti sauce, milk, yogurt, eggs, laundry detergent, fruits, waffles, soap, ice cream, vegetables, laundry detergent, waffles, all- purpose, pasta, spaghetti sauce, waffles, milk, shampoo
310, sugar, lunch meat, sandwich loaves, bagels, waffles, sandwich bags, hand soap, soda, beef, cheeses, sugar, coffee/tea, soap, butter, poultry, tortillas, eggs, aluminum foil, sugar
314, shampoo, spaghetti sauce, spaghetti sauce, dinner rolls, hand soap, cheeses, aluminum foil, flour, waffles, laundry detergent, paper towels, bagels, butter, individual meals, paper towels, eggs, vegetables, coffee/tea, paper towels
316, waffles, tortillas, vegetables, ice cream, tortillas, dishwashing liquid/detergent, individual meals, soda, soap, fruits, sugar, aluminum foil, hand soap, coffee/tea, lunch meat, eggs, cheeses, toilet paper, butter
321, individual meals, flour, juice, milk, vegetables, shampoo, cereals, paper towels, vegetables, laundry detergent, paper towels, all- purpose, coffee/tea, hand soap, ice cream, cheeses, cheeses, mixes, yogurt
323, bagels, beef, vegetables, tortillas, dinner rolls, toilet paper, aluminum foil, vegetables, fruits, vegetables, pork, cheeses, coffee/tea, milk, sugar, poultry, toilet paper, spaghetti sauce, lunch meat
325, individual meals, vegetables, pork, tortillas, sandwich bags, aluminum foil, individual meals, coffee/tea, cheeses, bagels, eggs, soda, flour, yogurt, ice cream, poultry, pork, flour, milk
326, mixes, poultry, vegetables, toilet paper, laundry detergent, sugar, poultry, aluminum foil, hand soap, cereals, cheeses, coffee/tea, beef, bagels, individual meals, ice cream, pasta, pasta, vegetables
329, pasta, mixes, flour, sandwich loaves, cereals, hand soap, paper towels, shampoo, butter, sandwich bags, bagels, fruits, ice cream, soap, soda, bagels, juice, ketchup, soap
330, bagels, cereals, milk, bagels, sandwich bags, flour, sandwich bags, mixes, shampoo, yogurt, tortillas, spaghetti sauce, toilet paper, hand soap, beef, lunch meat, yogurt, butter, dinner rolls
333, mixes, sugar, sandwich loaves, sandwich loaves, hand soap, sandwich bags, soda, vegetables, individual meals, vegetables, eggs, paper towels, pasta, vegetables, milk, all- purpose, aluminum foil, shampoo, paper towels
334, bagels, flour, ice cream, pork, toilet paper, waffles, toilet paper, yogurt, sandwich loaves, eggs, soap, cheeses, sugar, cheeses, fruits, sugar, pasta, aluminum foil, sandwich loaves
335, sugar, shampoo, yogurt, vegetables, flour, hand soap, juice, yogurt, pasta, poultry, vegetables, shampoo, sugar, dinner rolls, waffles, beef, beef, spaghetti sauce, 
336, juice, aluminum foil, paper towels, coffee/tea, individual meals, cereals, shampoo, vegetables, beef, cheeses, individual meals, bagels, sandwich loaves, aluminum foil, flour, vegetables, dishwashing liquid/detergent, lunch meat, sugar
337, pork, individual meals, aluminum foil, individual meals, cereals, aluminum foil, ice cream, ice cream, dinner rolls, fruits, poultry, laundry detergent, spaghetti sauce, poultry, coffee/tea, individual meals, dinner rolls, ice cream, 
342, mixes, toilet paper, pasta, shampoo, waffles, flour, sandwich loaves, beef, dinner rolls, soda, soap, ketchup, waffles, pork, coffee/tea, flour, flour, aluminum foil, dishwashing liquid/detergent
347, flour, hand soap, butter, yogurt, fruits, vegetables, cheeses, sandwich bags, sandwich loaves, butter, sandwich bags, tortillas, individual meals, soda, aluminum foil, waffles, sugar, dinner rolls, tortillas
349, soda, flour, mixes, milk, tortillas, shampoo, toilet paper, ice cream, soda, toilet paper, lunch meat, juice, vegetables, yogurt, poultry, sandwich bags, soda, milk, beef
350, sugar, dinner rolls, spaghetti sauce, tortillas, tortillas, mixes, lunch meat, beef, bagels, all- purpose, tortillas, pork, toilet paper, vegetables, individual meals, poultry, soap, shampoo, waffles
353, ketchup, laundry detergent, dishwashing liquid/detergent, aluminum foil, coffee/tea, pork, tortillas, soap, poultry, hand soap, pasta, milk, sandwich bags, sandwich loaves, all- purpose, fruits, soda, pork, milk
355, cereals, sandwich bags, toilet paper, sugar, sandwich loaves, ketchup, sugar, soda, butter, milk, sandwich loaves, shampoo, sandwich bags, milk, fruits, cheeses, spaghetti sauce, paper towels, 
356, beef, cheeses, poultry, yogurt, hand soap, sandwich loaves, cheeses, individual meals, dinner rolls, soap, lunch meat, pork, mixes, shampoo, soap, vegetables, shampoo, eggs, sugar
362, mixes, cheeses, tortillas, ice cream, vegetables, dishwashing liquid/detergent, vegetables, beef, flour, vegetables, hand soap, paper towels, hand soap, sugar, aluminum foil, ketchup, laundry detergent, bagels, hand soap
363, poultry, tortillas, eggs, cereals, poultry, fruits, dinner rolls, sandwich bags, tortillas, laundry detergent, all- purpose, lunch meat, sandwich loaves, pasta, individual meals, ice cream, pasta, vegetables, butter
365, ketchup, tortillas, vegetables, eggs, all- purpose, sandwich bags, soda, yogurt, sandwich loaves, pasta, fruits, milk, aluminum foil, tortillas, mixes, pasta, vegetables, waffles, poultry
369, pasta, spaghetti sauce, waffles, beef, butter, ice cream, sandwich loaves, tortillas, beef, butter, all- purpose, vegetables, cereals, fruits, coffee/tea, cereals, coffee/tea, soap, 
374, coffee/tea, eggs, spaghetti sauce, pasta, tortillas, paper towels, dishwashing liquid/detergent, ketchup, ketchup, butter, bagels, soap, vegetables, waffles, laundry detergent, eggs, cheeses, cheeses, dinner rolls
375, sandwich loaves, juice, waffles, juice, flour, yogurt, pasta, butter, pork, eggs, vegetables, butter, sandwich bags, coffee/tea, poultry, sandwich bags, ketchup, fruits, milk
376, soap, lunch meat, pasta, ketchup, laundry detergent, vegetables, coffee/tea, ice cream, coffee/tea, waffles, hand soap, milk, milk, tortillas, pork, vegetables, bagels, shampoo, ice cream
377, yogurt, poultry, pasta, vegetables, bagels, pork, mixes, coffee/tea, cheeses, flour, dinner rolls, juice, spaghetti sauce, ketchup, shampoo, dishwashing liquid/detergent, laundry detergent, cereals, 
378, pasta, dishwashing liquid/detergent, cereals, paper towels, shampoo, flour, hand soap, dinner rolls, cereals, paper towels, soap, vegetables, fruits, tortillas, toilet paper, toilet paper, cheeses, flour, mixes
379, tortillas, dishwashing liquid/detergent, vegetables, bagels, shampoo, butter, juice, bagels, vegetables, flour, dinner rolls, individual meals, bagels, shampoo, flour, dishwashing liquid/detergent, soda, soda, aluminum foil
383, soap, ketchup, soda, soap, pork, individual meals, flour, yogurt, coffee/tea, ketchup, dinner rolls, beef, waffles, aluminum foil, soda, shampoo, beef, flour, beef
384, laundry detergent, aluminum foil, lunch meat, milk, shampoo, flour, all- purpose, ketchup, soap, shampoo, mixes, bagels, toilet paper, flour, cereals, pork, sugar, dinner rolls, beef
385, aluminum foil, mixes, aluminum foil, cheeses, laundry detergent, poultry, mixes, flour, cheeses, dishwashing liquid/detergent, yogurt, cheeses, vegetables, poultry, eggs, pork, vegetables, poultry, aluminum foil
386, laundry detergent, poultry, milk, juice, vegetables, poultry, flour, beef, ice cream, pasta, sandwich loaves, paper towels, pasta, cereals, shampoo, sugar, paper towels, ketchup, fruits
387, pork, lunch meat, pork, soap, waffles, sandwich loaves, waffles, pasta, lunch meat, cheeses, sandwich loaves, soda, flour, flour, vegetables, pork, butter, dinner rolls, fruits
394, ketchup, flour, spaghetti sauce, flour, bagels, pasta, cheeses, sandwich loaves, dinner rolls, tortillas, soda, soda, individual meals, toilet paper, cheeses, ketchup, cheeses, milk, vegetables
395, ketchup, flour, coffee/tea, tortillas, toilet paper, vegetables, vegetables, shampoo, yogurt, pork, poultry, lunch meat, ketchup, poultry, paper towels, spaghetti sauce, all- purpose, soda, dinner rolls
396, spaghetti sauce, vegetables, flour, milk, butter, butter, hand soap, toilet paper, ice cream, spaghetti sauce, mixes, juice, pasta, tortillas, sandwich bags, mixes, waffles, flour, cheeses
398, pasta, vegetables, vegetables, lunch meat, shampoo, soap, milk, aluminum foil, ketchup, eggs, lunch meat, toilet paper, milk, sandwich loaves, cheeses, flour, ice cream, waffles, all- purpose
399, butter, eggs, poultry, all- purpose, lunch meat, juice, pasta, dishwashing liquid/detergent, aluminum foil, soda, milk, cheeses, laundry detergent, soap, paper towels, poultry, juice, shampoo, juice
400, sandwich bags, laundry detergent, lunch meat, vegetables, dishwashing liquid/detergent, all- purpose, butter, aluminum foil, paper towels, sandwich loaves, lunch meat, ketchup, milk, waffles, pork, vegetables, soap, soda, vegetables
401, mixes, dinner rolls, cereals, ice cream, toilet paper, eggs, sandwich bags, yogurt, soda, sandwich bags, hand soap, dishwashing liquid/detergent, soda, waffles, spaghetti sauce, butter, pork, flour, tortillas
402, cheeses, vegetables, juice, coffee/tea, laundry detergent, sandwich loaves, shampoo, soda, toilet paper, eggs, coffee/tea, individual meals, butter, poultry, tortillas, shampoo, milk, sandwich bags, spaghetti sauce
403, juice, cereals, lunch meat, coffee/tea, cereals, soda, lunch meat, soap, dishwashing liquid/detergent, mixes, sandwich bags, poultry, shampoo, waffles, ketchup, coffee/tea, soda, dinner rolls, poultry
405, yogurt, hand soap, vegetables, coffee/tea, dinner rolls, individual meals, dinner rolls, eggs, flour, pork, tortillas, all- purpose, coffee/tea, cheeses, pork, ketchup, yogurt, poultry, pork
410, yogurt, paper towels, cereals, vegetables, aluminum foil, dishwashing liquid/detergent, aluminum foil, tortillas, beef, sandwich bags, laundry detergent, laundry detergent, sandwich bags, cheeses, aluminum foil, paper towels, fruits, sugar, all- purpose
414, fruits, flour, coffee/tea, laundry detergent, vegetables, mixes, dinner rolls, yogurt, bagels, laundry detergent, beef, shampoo, sugar, ketchup, ice cream, sandwich loaves, toilet paper, soda, sandwich bags
416, aluminum foil, beef, vegetables, butter, pasta, fruits, juice, milk, all- purpose, eggs, bagels, soda, laundry detergent, dinner rolls, cereals, fruits, beef, flour, butter
417, cereals, lunch meat, sugar, cereals, juice, cereals, poultry, ketchup, dinner rolls, vegetables, toilet paper, cereals, mixes, waffles, tortillas, laundry detergent, waffles, flour, juice
418, individual meals, sandwich loaves, toilet paper, waffles, toilet paper, vegetables, ice cream, ice cream, sugar, vegetables, cheeses, dinner rolls, vegetables, shampoo, soap, butter, fruits, hand soap, butter
419, bagels, toilet paper, lunch meat, bagels, eggs, sandwich bags, dishwashing liquid/detergent, mixes, laundry detergent, pasta, individual meals, cheeses, cereals, tortillas, pork, toilet paper, coffee/tea, vegetables, tortillas
422, milk, lunch meat, shampoo, juice, waffles, butter, cereals, flour, milk, vegetables, vegetables, lunch meat, sandwich bags, eggs, sandwich bags, toilet paper, eggs, vegetables, yogurt
423, bagels, beef, ice cream, sandwich bags, coffee/tea, yogurt, poultry, coffee/tea, soap, dinner rolls, cereals, tortillas, aluminum foil, pork, flour, dishwashing liquid/detergent, aluminum foil, vegetables, individual meals
424, shampoo, ice cream, dishwashing liquid/detergent, milk, ice cream, vegetables, beef, milk, beef, waffles, ketchup, mixes, all- purpose, laundry detergent, bagels, yogurt, aluminum foil, laundry detergent, cereals
425, paper towels, all- purpose, individual meals, cereals, juice, hand soap, poultry, paper towels, pork, ice cream, butter, all- purpose, butter, aluminum foil, eggs, toilet paper, vegetables, mixes, ice cream
427, bagels, bagels, paper towels, mixes, bagels, ice cream, flour, eggs, lunch meat, sugar, juice, dinner rolls, vegetables, soap, soda, laundry detergent, tortillas, spaghetti sauce, juice
430, ketchup, spaghetti sauce, coffee/tea, paper towels, sandwich loaves, milk, hand soap, vegetables, juice, sandwich loaves, eggs, hand soap, soda, pasta, yogurt, laundry detergent, flour, eggs, bagels
431, vegetables, fruits, all- purpose, flour, eggs, ketchup, laundry detergent, soap, fruits, sugar, bagels, sandwich bags, soap, fruits, eggs, dishwashing liquid/detergent, fruits, yogurt, all- purpose
432, lunch meat, pork, pork, vegetables, vegetables, cereals, soap, soap, dinner rolls, cheeses, lunch meat, soda, sugar, sandwich bags, fruits, butter, spaghetti sauce, waffles, vegetables
435, mixes, all- purpose, toilet paper, fruits, individual meals, mixes, spaghetti sauce, ketchup, soap, tortillas, laundry detergent, paper towels, all- purpose, waffles, sandwich loaves, hand soap, individual meals, laundry detergent, yogurt
436, bagels, spaghetti sauce, toilet paper, sugar, dishwashing liquid/detergent, lunch meat, bagels, lunch meat, fruits, fruits, fruits, coffee/tea, dinner rolls, vegetables, poultry, dishwashing liquid/detergent, hand soap, pork, vegetables
438, hand soap, ketchup, lunch meat, coffee/tea, mixes, waffles, juice, sandwich bags, dishwashing liquid/detergent, sandwich loaves, dinner rolls, mixes, vegetables, mixes, fruits, hand soap, ketchup, poultry, poultry
440, soap, pasta, spaghetti sauce, coffee/tea, vegetables, pork, soda, juice, butter, vegetables, spaghetti sauce, cereals, bagels, shampoo, waffles, vegetables, lunch meat, shampoo, cheeses
443, vegetables, vegetables, coffee/tea, mixes, flour, milk, individual meals, aluminum foil, butter, ketchup, sugar, coffee/tea, cereals, juice, tortillas, toilet paper, dinner rolls, waffles, soap
444, sandwich bags, cheeses, dinner rolls, dishwashing liquid/detergent, tortillas, shampoo, all- purpose, dishwashing liquid/detergent, pasta, mixes, bagels, cheeses, fruits, ice cream, soda, hand soap, dinner rolls, bagels, pork
445, toilet paper, toilet paper, aluminum foil, tortillas, ice cream, vegetables, tortillas, beef, bagels, soda, individual meals, poultry, dishwashing liquid/detergent, cheeses, toilet paper, toilet paper, sugar, aluminum foil, individual meals
447, toilet paper, milk, laundry detergent, yogurt, juice, ice cream, soap, shampoo, pasta, cereals, cereals, dinner rolls, flour, vegetables, butter, vegetables, pork, soap, hand soap
449, hand soap, soda, all- purpose, individual meals, aluminum foil, coffee/tea, beef, pork, juice, sandwich loaves, eggs, sugar, bagels, butter, dinner rolls, juice, poultry, spaghetti sauce, vegetables
452, bagels, sugar, soda, paper towels, waffles, individual meals, vegetables, laundry detergent, sandwich bags, flour, soda, mixes, vegetables, vegetables, sandwich bags, soda, cereals, sandwich loaves, juice
454, ketchup, dishwashing liquid/detergent, shampoo, yogurt, individual meals, toilet paper, flour, eggs, waffles, shampoo, vegetables, butter, fruits, eggs, cheeses, shampoo, laundry detergent, sandwich loaves, eggs
455, juice, sandwich loaves, lunch meat, ice cream, waffles, coffee/tea, pork, poultry, poultry, soda, fruits, ice cream, waffles, flour, tortillas, aluminum foil, aluminum foil, spaghetti sauce, eggs
456, vegetables, soap, ketchup, laundry detergent, laundry detergent, hand soap, flour, shampoo, ketchup, laundry detergent, milk, flour, dishwashing liquid/detergent, sugar, vegetables, sandwich bags, soap, beef, poultry
458, ketchup, spaghetti sauce, all- purpose, lunch meat, cereals, tortillas, vegetables, fruits, beef, fruits, juice, vegetables, paper towels, ice cream, cereals, beef, vegetables, eggs, 
460, shampoo, dishwashing liquid/detergent, poultry, waffles, pork, vegetables, aluminum foil, cereals, mixes, pasta, lunch meat, juice, sugar, ketchup, shampoo, lunch meat, pork, mixes, beef
463, cereals, aluminum foil, aluminum foil, vegetables, sandwich bags, cereals, mixes, vegetables, butter, individual meals, ketchup, hand soap, poultry, juice, vegetables, sandwich loaves, soap, poultry, spaghetti sauce
464, vegetables, poultry, flour, ice cream, yogurt, sandwich bags, milk, pasta, paper towels, milk, soap, cereals, soda, shampoo, soap, fruits, lunch meat, ketchup, flour
465, hand soap, pork, soap, soap, paper towels, vegetables, flour, soda, ketchup, cheeses, milk, laundry detergent, sandwich loaves, tortillas, ketchup, paper towels, mixes, hand soap, individual meals
466, waffles, tortillas, sandwich loaves, mixes, ketchup, butter, eggs, all- purpose, vegetables, laundry detergent, soap, toilet paper, dinner rolls, soda, toilet paper, spaghetti sauce, hand soap, flour, coffee/tea
467, ketchup, cheeses, sandwich loaves, individual meals, fruits, coffee/tea, mixes, toilet paper, yogurt, hand soap, juice, vegetables, sandwich bags, shampoo, waffles, hand soap, cereals, aluminum foil, soda
468, sandwich bags, soap, laundry detergent, cheeses, coffee/tea, lunch meat, waffles, poultry, aluminum foil, hand soap, flour, cheeses, individual meals, flour, coffee/tea, shampoo, laundry detergent, soap, flour
469, mixes, butter, paper towels, eggs, vegetables, dinner rolls, vegetables, bagels, poultry, dishwashing liquid/detergent, aluminum foil, pork, dinner rolls, pork, butter, yogurt, bagels, all- purpose, fruits
470, fruits, cereals, yogurt, vegetables, flour, ice cream, sugar, cheeses, dinner rolls, vegetables, paper towels, pasta, ketchup, spaghetti sauce, yogurt, dinner rolls, eggs, vegetables, spaghetti sauce
471, dinner rolls, waffles, lunch meat, cereals, spaghetti sauce, fruits, sandwich bags, vegetables, eggs, lunch meat, cereals, laundry detergent, mixes, sugar, toilet paper, dishwashing liquid/detergent, soap, yogurt, milk
472, aluminum foil, vegetables, juice, laundry detergent, beef, beef, ketchup, butter, mixes, ice cream, dishwashing liquid/detergent, lunch meat, bagels, aluminum foil, paper towels, butter, eggs, bagels, eggs
473, tortillas, sandwich bags, bagels, cereals, dinner rolls, paper towels, poultry, mixes, ketchup, soap, waffles, fruits, butter, aluminum foil, beef, poultry, milk, cereals, ketchup
474, sandwich loaves, vegetables, beef, aluminum foil, eggs, fruits, waffles, sandwich bags, lunch meat, vegetables, dishwashing liquid/detergent, ice cream, sandwich bags, beef, sandwich bags, butter, ketchup, cereals, aluminum foil
475, vegetables, vegetables, vegetables, toilet paper, individual meals, paper towels, yogurt, waffles, milk, laundry detergent, dishwashing liquid/detergent, aluminum foil, eggs, dinner rolls, spaghetti sauce, cheeses, soda, juice, shampoo
477, shampoo, butter, toilet paper, aluminum foil, fruits, milk, beef, beef, all- purpose, dishwashing liquid/detergent, sandwich bags, sugar, poultry, fruits, fruits, poultry, soda, vegetables, mixes
478, sugar, shampoo, toilet paper, ice cream, laundry detergent, yogurt, vegetables, dinner rolls, dishwashing liquid/detergent, vegetables, juice, vegetables, sugar, aluminum foil, butter, laundry detergent, vegetables, sandwich bags, fruits
480, cereals, waffles, flour, milk, juice, cheeses, spaghetti sauce, fruits, individual meals, paper towels, shampoo, hand soap, waffles, hand soap, soda, all- purpose, milk, sandwich loaves, lunch meat
481, poultry, bagels, hand soap, beef, dishwashing liquid/detergent, butter, pork, toilet paper, tortillas, individual meals, mixes, vegetables, juice, laundry detergent, aluminum foil, aluminum foil, spaghetti sauce, fruits, shampoo
485, coffee/tea, laundry detergent, shampoo, dinner rolls, sugar, cereals, ketchup, pasta, sugar, vegetables, soda, tortillas, lunch meat, vegetables, poultry, sandwich bags, dishwashing liquid/detergent, waffles, tortillas
486, tortillas, mixes, soda, flour, poultry, sandwich bags, dishwashing liquid/detergent, bagels, dinner rolls, individual meals, toilet paper, waffles, butter, milk, cereals, pork, cheeses, eggs, soap
491, ketchup, sugar, spaghetti sauce, waffles, tortillas, dinner rolls, hand soap, sandwich bags, mixes, sugar, toilet paper, juice, waffles, mixes, ketchup, milk, laundry detergent, vegetables, cereals
492, dishwashing liquid/detergent, sandwich loaves, coffee/tea, bagels, pork, cheeses, soap, butter, poultry, toilet paper, bagels, ketchup, cheeses, waffles, soap, bagels, aluminum foil, cereals, 
495, mixes, eggs, laundry detergent, cheeses, aluminum foil, poultry, yogurt, juice, dishwashing liquid/detergent, vegetables, pork, soda, all- purpose, butter, pasta, soda, dishwashing liquid/detergent, mixes, individual meals
499, lunch meat, vegetables, mixes, soap, vegetables, ketchup, flour, yogurt, vegetables, soap, eggs, cheeses, butter, soda, individual meals, ketchup, vegetables, lunch meat, aluminum foil
500, aluminum foil, all- purpose, dinner rolls, butter, soap, dinner rolls, flour, vegetables, spaghetti sauce, pasta, pasta, individual meals, juice, laundry detergent, paper towels, butter, vegetables, coffee/tea, poultry
501, vegetables, individual meals, mixes, toilet paper, fruits, soap, cereals, lunch meat, dishwashing liquid/detergent, poultry, cheeses, laundry detergent, sandwich bags, aluminum foil, sandwich loaves, sandwich loaves, milk, individual meals, waffles
502, milk, sandwich loaves, individual meals, mixes, fruits, coffee/tea, paper towels, milk, individual meals, lunch meat, pork, sandwich bags, yogurt, sandwich bags, vegetables, vegetables, paper towels, mixes, poultry
504, spaghetti sauce, hand soap, sugar, soap, waffles, laundry detergent, soap, butter, dinner rolls, juice, ice cream, ketchup, poultry, vegetables, tortillas, butter, cheeses, individual meals, spaghetti sauce
505, dishwashing liquid/detergent, waffles, cheeses, soap, pasta, dinner rolls, cheeses, yogurt, vegetables, flour, sandwich bags, all- purpose, cheeses, tortillas, sugar, vegetables, soda, bagels, yogurt
506, paper towels, eggs, cereals, individual meals, cereals, soda, butter, paper towels, soda, pasta, flour, cereals, mixes, juice, vegetables, spaghetti sauce, dinner rolls, cheeses, soap
508, cereals, waffles, sugar, pork, pasta, ice cream, vegetables, sugar, yogurt, soda, pasta, flour, all- purpose, laundry detergent, paper towels, waffles, coffee/tea, coffee/tea, butter
509, eggs, waffles, sandwich bags, vegetables, ice cream, all- purpose, coffee/tea, lunch meat, flour, mixes, ice cream, spaghetti sauce, aluminum foil, laundry detergent, ice cream, ketchup, juice, vegetables, soda
510, eggs, pasta, tortillas, hand soap, yogurt, dinner rolls, dishwashing liquid/detergent, spaghetti sauce, tortillas, pasta, spaghetti sauce, individual meals, ice cream, pork, vegetables, juice, all- purpose, sugar, waffles
511, milk, coffee/tea, fruits, cereals, eggs, mixes, poultry, pork, spaghetti sauce, sandwich loaves, pork, beef, mixes, vegetables, ketchup, coffee/tea, flour, hand soap, sandwich bags
512, vegetables, juice, laundry detergent, sugar, sugar, spaghetti sauce, sugar, yogurt, spaghetti sauce, beef, soda, ice cream, toilet paper, laundry detergent, cereals, dinner rolls, laundry detergent, flour, dishwashing liquid/detergent
517, flour, hand soap, dishwashing liquid/detergent, sandwich bags, mixes, tortillas, hand soap, yogurt, pork, flour, coffee/tea, pasta, beef, poultry, pasta, all- purpose, soda, laundry detergent, individual meals
519, cheeses, sandwich bags, cereals, juice, lunch meat, poultry, fruits, yogurt, shampoo, beef, toilet paper, sandwich loaves, juice, soap, flour, juice, all- purpose, dishwashing liquid/detergent, hand soap
520, hand soap, pasta, bagels, cheeses, all- purpose, mixes, ketchup, sandwich bags, soda, lunch meat, spaghetti sauce, beef, fruits, mixes, hand soap, sandwich bags, laundry detergent, tortillas, shampoo
521, soda, bagels, sandwich loaves, soap, aluminum foil, soda, vegetables, cereals, paper towels, aluminum foil, juice, individual meals, aluminum foil, shampoo, spaghetti sauce, tortillas, dishwashing liquid/detergent, toilet paper, sandwich bags
523, individual meals, pasta, toilet paper, bagels, cheeses, bagels, shampoo, beef, individual meals, sandwich bags, waffles, butter, milk, flour, soap, ice cream, ketchup, vegetables, eggs
525, juice, sugar, fruits, laundry detergent, fruits, bagels, vegetables, all- purpose, coffee/tea, ice cream, pork, cheeses, milk, toilet paper, lunch meat, vegetables, hand soap, eggs, ketchup
526, vegetables, poultry, vegetables, flour, poultry, pasta, cheeses, yogurt, pork, all- purpose, individual meals, all- purpose, lunch meat, coffee/tea, lunch meat, juice, mixes, juice, individual meals
527, vegetables, pasta, mixes, sandwich bags, tortillas, flour, tortillas, paper towels, sugar, bagels, paper towels, pasta, pork, butter, pork, flour, fruits, laundry detergent, butter
530, ice cream, beef, cheeses, pork, lunch meat, individual meals, lunch meat, paper towels, flour, laundry detergent, shampoo, poultry, sugar, ice cream, pork, shampoo, beef, toilet paper, butter
531, butter, soda, milk, sandwich bags, laundry detergent, fruits, cereals, soda, poultry, butter, eggs, mixes, aluminum foil, cereals, poultry, lunch meat, vegetables, ketchup, tortillas
532, poultry, eggs, yogurt, sugar, juice, aluminum foil, vegetables, poultry, vegetables, waffles, mixes, vegetables, bagels, cheeses, ketchup, individual meals, vegetables, all- purpose, 
533, poultry, paper towels, toilet paper, flour, fruits, cereals, toilet paper, poultry, waffles, juice, vegetables, hand soap, mixes, eggs, vegetables, vegetables, paper towels, butter, beef
534, soap, lunch meat, vegetables, laundry detergent, milk, bagels, lunch meat, tortillas, pork, eggs, soda, sandwich bags, paper towels, tortillas, mixes, eggs, waffles, waffles, hand soap
536, soda, ice cream, waffles, shampoo, lunch meat, fruits, pork, aluminum foil, pasta, pasta, coffee/tea, toilet paper, spaghetti sauce, beef, vegetables, pork, pasta, dishwashing liquid/detergent, 
537, soap, vegetables, all- purpose, milk, spaghetti sauce, dishwashing liquid/detergent, juice, bagels, milk, lunch meat, butter, soda, spaghetti sauce, fruits, flour, spaghetti sauce, laundry detergent, coffee/tea, lunch meat
539, pork, sandwich bags, beef, coffee/tea, eggs, fruits, sugar, mixes, cereals, sandwich bags, soap, all- purpose, eggs, dishwashing liquid/detergent, laundry detergent, individual meals, mixes, lunch meat, paper towels
541, lunch meat, beef, vegetables, fruits, beef, sandwich bags, ketchup, vegetables, ketchup, shampoo, cereals, tortillas, aluminum foil, milk, vegetables, vegetables, waffles, fruits, dinner rolls
543, all- purpose, laundry detergent, sandwich loaves, sugar, vegetables, spaghetti sauce, soda, beef, dishwashing liquid/detergent, vegetables, milk, flour, poultry, cereals, flour, vegetables, vegetables, lunch meat, cereals
